Domain,Linux,Accessible,Download,
,,,HTTP,FTP
http://debuginfo.centos.org/
http://mirror.centos.org/centos/$releasever/os/$basearch/,CentOS,Yes,No,Yes
http://mirror.centos.org/centos/$releasever/updates/$basearch/,CentOS,Yes,No,Yes
http://mirror.centos.org/centos/$releasever/extras/$basearch/,CentOS,Yes,No,Yes
http://mirror.centos.org/centos/$releasever/centosplus/$basearch/,CentOS,Yes,No,Yes
http://mirror.centos.org/centos/$releasever/contrib/$basearch/,CentOS,Yes,No,Yes
http://debuginfo.centos.org/6/$basearch/,CentOS,Yes,No,Yes
http://mirror.centos.org/centos/$releasever/fasttrack/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.0/os/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.0/updates/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.0/extras/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.0/contrib/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.0/centosplus/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.1/os/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.1/updates/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.1/extras/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.1/contrib/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.1/centosplus/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.2/os/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.2/updates/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.2/extras/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.2/contrib/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.2/centosplus/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.3/os/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.3/updates/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.3/extras/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.3/contrib/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.3/centosplus/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.4/os/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.4/updates/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.4/extras/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.4/contrib/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.4/centosplus/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.5/os/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.5/updates/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.5/extras/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.5/contrib/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.5/centosplus/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.6/os/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.6/updates/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.6/extras/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.6/contrib/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.6/centosplus/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.7/os/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.7/updates/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.7/extras/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.7/contrib/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.7/centosplus/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.8/os/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.8/updates/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.8/extras/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.8/contrib/$basearch/,CentOS,Yes,No,Yes
http://vault.centos.org/6.8/centosplus/$basearch/,CentOS,Yes,No,Yes
